PC值      寄存器编号 待写入寄存器的值
00000000   08           80000000        
00000004   09           00000001        
00000008   10           000000ff        
0000000c   11           00001234        
00000010   12           00000001        
00000014   13           00000002        
00000018   14           00000010        
0000001c   15           00000100        
00000020   24           00010000        
00000024   25           80000000        
00000028   16           0000ff00        
0000002c   17           00ff0000        
00000030   18           ff000000        
00000034   19           00000010        
00000038   20           ffff8000        
0000003c   21           0000001f        
00000040   22           ffffffff        
00000044   23           00000004        
00000048   01           00000123        
0000004c   02           7fff0000        
00000050   02           7fffffff        
00000054   03           00000008        
00000058   04           007fffff        
0000005c   05           00000000        
00000060   06           80000000        
00000064   07           0000001e        
00000068   12           fffffffe        
0000006c   13           00000001        
00000070   14           00000004        
00000074   15           00000010        
00000078   24           00000040        
