PC值      寄存器编号 待写入寄存器的值
00000000   08           00000064        
00000004   09           000000c8        
00000008   10           00000190        
0000000c   11           00000320        
00000010   12           0000000a        
00000014   13           0000000f        
00000018   14           00000014        
0000001c   15           00000019        
00000020   24           0000001e        
00000024   25           00000008        
00000028   16           00000007        
0000002c   17           0000000f        
00000030   18           00000017        
00000034   19           ff000000        
00000044   19           ff0000ff        
00000048   20           ff0000ff        
0000004c   21           ff0000ff        
00000050   22           00000000        
00000054   23           000000ff        
00000058   02           0000ff00        
0000005c   03           00ff0000        
00000060   04           00000008        
00000064   05           0000ff00        
00000068   06           0000000a        
0000006c   07           0000000a        
0000008c   08           00000001        
00000090   28           80010000        
00000094   09           0000abcd        
0000009c   10           00000001        
000000a0   11           00000002        
000000a4   12           00000004        
000000a8   13           00000008        
000000ac   14           00000010        
000000b0   15           00001111        
000000b4   15           00002222        
000000b8   24           00000001        
000000bc   25           00002223        
000000c0   16           00000005        
000000c4   17           00000003        
000000c8   18           00000008        
000000cc   19           00000000        
000000d0   20           00000008        
000000d4   21           00000000        
