PC值      寄存器编号 待写入寄存器的值
00000000   16           80010000        
00000004   08           00001234        
00000008   09           00005678        
0000000c   10           0000abcd        
0000001c   11           00001234        
00000024   12           00002468        
00000028   13           00000001        
00000030   14           00000001        
00000054   15           00000001        
00000058   24           00001234        
00000060   25           00002468        
00000064   17           00005678        
0000006c   18           0000acf0        
00000070   19           0000d158        
00000074   20           00001234        
00000078   21           00000100        
0000007c   22           00001334        
00000080   23           000000ff        
00000088   02           ffffffff        
00000090   03           000000ff        
00000094   04           00001234        
000000a0   05           00001234        
000000a8   06           00002468        
000000ac   07           000048d0        
000000b0   08           000091a0        
000000b4   09           00001234        
000000c0   10           00001234        
000000c4   11           00005678        
000000cc   12           000068ac        
