PC值      寄存器编号 待写入寄存器的值
00000000   16           80010000        
00000004   08           12340000        
00000008   08           12345678        
0000000c   09           abcd0000        
00000010   09           abcdef00        
00000014   10           ffff0000        
00000018   10           ffffffff        
0000001c   11           00000080        
00000034   12           12345678        
00000038   13           abcdef00        
0000003c   14           ffffffff        
00000040   15           00000080        
00000044   24           00000000        
00000048   17           00000078        
0000004c   18           00000056        
00000050   19           00000034        
00000054   20           00000012        
00000058   21           00000000        
0000005c   22           ffffffef        
00000060   23           ffffffcd        
00000064   02           ffffffab        
00000068   25           ffffffff        
0000006c   16           ffffffff        
00000070   16           80010000        
00000078   03           abcdef00        
0000007c   04           12345678        
00000084   05           2468acf0        
00000088   06           abcdef00        
00000090   07           abcdef00        
00000094   26           be024578        
0000009c   27           be024578        
